

  1r          |                       |    |    |    |(I )(I )      |     
431:  #       |bltu   x05, x06, 0x1ff8|    |    |    |(I )(I )      |     
432:  /       |                       |bltu|    |    |(TC)(I )      |     
433:  #       |                       |    |bltu|    |(RD)(I )      |     
434:  #       |                       |    |    |bltu|(W )(I )      |     
435:  #       |                       |    |    |    |(I )(I )      |     
436:  #       |                       |    |    |    |(TC)(I )      |     
437:  #       |                       |    |    |    |(RD)(I )      |     
438:  000002b4|                       |    |    |    |(W )(I )      |     
439:  #       |sw     x00, 0x000(x05) |    |    |    |(I )(I )      |     
440:  #       |                       |sw  |    |    |(TC)(I )      |     
441:  #       |                       |    |#   |    |(RD)(TC)      |     
442:  #       |                       |    |#   |    |(W )(RR)      |rd>  
443:  #       |                       |    |#   |    |(W )(RW)      |  >rd
444:  #       |                       |    |#   |    |(W )(RU)      |     
445:  #       |                       |    |#   |    |(W )(WD)      |     
446:  000002b8|                       |    |sw  |    |(W )(W )      |     
447:  #       |addi   x05, x05, 0x004 |    |    |sw  |(I )(I )      |     
448:  #       |                       |addi|    |    |(TC)(I )      |     
449:  #       |                       |    |addi|    |(RD)(I )      |     
450:  000002bc|                       |    |    |addi|(W )(I )      |     
451:  #       |bltu   x05, x06, 0x1ff8|    |    |    |(I )(I )      |     
452:  /       |                       |bltu|    |    |(TC)(I )      |     
453:  #       |                       |    |bltu|    |(RD)(I )      |     
454:  #       |                       |    |    |bltu|(W )(I )      |     
455:  #       |                       |    |    |    |(I )(I )      |     
456:  #       |                       |    |    |    |(TC)(I )      |     
457:  #       |                       |    |    |    |(RD)(I )      |     
458:  000002b4|                       |    |    |    |(W )(I )      |     
459:  #       |sw     x00, 0x000(x05) |    |    |    |(I )(I )      |     
460:  #       |                       |sw  |    |    |(TC)(I )      |     
461:  #       |                       |    |#   |    |(RD)(TC)      |     
462:  #       |                       |    |#   |    |(W )(WD)      |     
463:  000002b8|                       |    |sw  |    |(W )(W )      |     
464:  #       |addi   x05, x05, 0x004 |    |    |sw  |(I )(I )      |     
465:  #       |                       |addi|    |    |(TC)(I )      |     
466:  #       |                       |    |addi|    |(RD)(I )      |     
467:  000002bc|                       |    |    |addi|(W )(I )      |     
468:  #       |bltu   x05, x06, 0x1ff8|    |    |    |(I )(I )      |     
469:  /       |                       |bltu|    |    |(TC)(I )      |     
470:  #       |                       |    |bltu|    |(RD)(I )      |     
471:  #       |                       |    |    |bltu|(W )(I )      |     
