

  1r          |                       |    |    |    |(I )(I )      |     
472:  #       |                       |    |    |    |(I )(I )      |     
473:  #       |                       |    |    |    |(TC)(I )      |     
474:  #       |                       |    |    |    |(RD)(I )      |     
475:  000002b4|                       |    |    |    |(W )(I )      |     
476:  #       |sw     x00, 0x000(x05) |    |    |    |(I )(I )      |     
477:  #       |                       |sw  |    |    |(TC)(I )      |     
478:  #       |                       |    |#   |    |(RD)(TC)      |     
479:  #       |                       |    |#   |    |(W )(WD)      |     
480:  000002b8|                       |    |sw  |    |(W )(W )      |     
481:  #       |addi   x05, x05, 0x004 |    |    |sw  |(I )(I )      |     
482:  #       |                       |addi|    |    |(TC)(I )      |     
483:  #       |                       |    |addi|    |(RD)(I )      |     
484:  000002bc|                       |    |    |addi|(W )(I )      |     
485:  #       |bltu   x05, x06, 0x1ff8|    |    |    |(I )(I )      |     
486:  /       |                       |bltu|    |    |(TC)(I )      |     
487:  #       |                       |    |bltu|    |(RD)(I )      |     
488:  #       |                       |    |    |bltu|(W )(I )      |     
489:  #       |                       |    |    |    |(I )(I )      |     
490:  #       |                       |    |    |    |(TC)(I )      |     
491:  #       |                       |    |    |    |(RD)(I )      |     
492:  000002b4|                       |    |    |    |(W )(I )      |     
493:  #       |sw     x00, 0x000(x05) |    |    |    |(I )(I )      |     
494:  #       |                       |sw  |    |    |(TC)(I )      |     
495:  #       |                       |    |#   |    |(RD)(TC)      |     
496:  #       |                       |    |#   |    |(W )(WD)      |     
497:  000002b8|                       |    |sw  |    |(W )(W )      |     
498:  #       |addi   x05, x05, 0x004 |    |    |sw  |(I )(I )      |     
499:  #       |                       |addi|    |    |(TC)(I )      |     
500:  #       |                       |    |addi|    |(RD)(I )      |     
501:  000002bc|                       |    |    |addi|(W )(I )      |     
502:  #       |bltu   x05, x06, 0x1ff8|    |    |    |(I )(I )      |     
503:  #       |                       |bltu|    |    |(TC)(I )      |     
504:  #       |                       |    |bltu|    |(RD)(I )      |     
505:  000002c0|                       |    |    |bltu|(W )(I )      |     
506:  #       |lw     x10, 0x000(x02) |    |    |    |(I )(I )      |     
507:  #       |                       |lw  |    |    |(TC)(I )      |     
508:  #       |                       |    |#   |    |(RD)(TC)      |     
509:  #       |                       |    |#   |    |(W )(RR)      |rd>  
510:  #       |                       |    |#   |    |(W )(RW)      |  >rd
511:  #       |                       |    |#   |    |(W )(RU)      |     
512:  #       |                       |    |#   |    |(W )(RD)      |     
513:  000002c4|                       |    |lw  |    |(W )(W )      |     
514:  #       |addi   x11, x02, 0x004 |    |    |lw  |(I )(I )      |     
515:  #       |                       |addi|    |    |(TC)(I )      |     
516:  #       |                       |    |addi|    |(RD)(I )      |     
517:  000002c8|                       |    |    |addi|(W )(I )      |     
518:  /       |jal    x01, 0x000408   |    |    |    |(I )(I )      |     
519:  #       |                       |jal |    |    |(TC)(I )      |     
520:  #       |                       |    |jal |    |(RD)(I )      |     
521:  #       |                       |    |    |jal |(W )(I )      |     
522:  #       |                       |    |    |    |(I )(I )      |     
523:  #       |                       |    |    |    |(TC)(I )      |     
524:  #       |                       |    |    |    |(RR)(I ) rd>  |     
525:  #       |                       |    |    |    |(RW)(I )   >rd|     
526:  #       |                       |    |    |    |(RU)(I )      |     
527:  #       |                       |    |    |    |(RD)(I )      |     
528:  000006d0|                       |    |    |    |(W )(I )      |     
529:  #       |addi   x02, x02, 0xfe0 |    |    |    |(I )(I )      |     
530:  #       |                       |addi|    |    |(TC)(I )      |     
531:  #       |                       |    |addi|    |(RD)(I )      |     
532:  000006d4|                       |    |    |addi|(W )(I )      |     
533:  #       |sw     x20, 0x008(x02) |    |    |    |(I )(I )      |     
534:  #       |                       |sw  |    |    |(TC)(I )      |     
535:  #       |                       |    |#   |    |(RD)(TC)      |     
536:  #       |                       |    |#   |    |(W )(RR)      |rd>  
537:  #       |                       |    |#   |    |(W )(RW)      |  >rd
538:  #       |                       |    |#   |    |(W )(RU)      |     
539:  #       |                       |    |#   |    |(W )(WD)      |     
540:  000006d8|                       |    |sw  |    |(W )(W )      |     
541:  #       |lui    x20, 0x00001    |    |    |sw  |(I )(I )      |     
542:  #       |                       |lui |    |    |(TC)(I )      |     
543:  #       |                       |    |lui |    |(RD)(I )      |     
544:  000006dc|                       |    |    |lui |(W )(I )      |     
545:  #       |lw     x10, 0xf70(x20) |    |    |    |(I )(I )      |     
546:  #       |                       |lw  |    |    |(TC)(I )      |     
547:  #       |                       |    |#   |    |(RR)(TC) rd>  |     
548:  #       |                       |    |#   |    |(RW)(RR)   >rd|rd>  
549:  #       |                       |    |#   |    |(RU)(RW)      |  >rd
550:  #       |                       |    |#   |    |(RD)(RU)      |     
551:  #       |                       |    |#   |    |(W )(RD)      |     
552:  000006e0|                       |    |lw  |    |(W )(W )      |     
553:  #       |sw     x22, 0x000(x02) |    |    |lw  |(I )(I )      |     
554:  #       |                       |sw  |    |    |(TC)(I )      |     
555:  #       |                       |    |#   |    |(RD)(TC)      |     
556:  #       |                       |    |#   |    |(W )(WD)      |     
557:  000006e4|                       |    |sw  |    |(W )(W )      |     
558:  #       |sw     x01, 0x01c(x02) |    |    |sw  |(I )(I )      |     
559:  #       |                       |sw  |    |    |(TC)(I )      |     
560:  #       |                       |    |#   |    |(RD)(TC)      |     
561:  #       |                       |    |#   |    |(W )(RR)      |rd>  
562:  #       |                       |    |#   |    |(W )(RW)      |  >rd
563:  #       |                       |    |#   |    |(W )(RU)      |     
564:  #       |                       |    |#   |    |(W )(WD)      |     
565:  000006e8|                       |    |sw  |    |(W )(W )      |     
566:  #       |slli   x10, x10, 0x02  |    |    |sw  |(I )(I )      |     
567:  #       |                       |slli|    |    |(TC)(I )      |     
568:  #       |                       |    |slli|    |(RD)(I )      |     
569:  000006ec|                       |    |    |slli|(W )(I )      |     
570:  #       |sw     x08, 0x018(x02) |    |    |    |(I )(I )      |     
571:  #       |                       |sw  |    |    |(TC)(I )      |     
572:  #       |                       |    |#   |    |(RR)(TC) rd>  |     
573:  #       |                       |    |#   |    |(RW)(WD)   >rd|     
574:  #       |                       |    |sw  |    |(RU)(W )      |     
575:  #       |                       |    |    |sw  |(RD)(I )      |     
576:  000006f0|                       |    |    |    |(W )(I )      |     
577:  #       |sw     x09, 0x014(x02) |    |    |    |(I )(I )      |     
578:  #       |                       |sw  |    |    |(TC)(I )      |     
579:  #       |                       |    |#   |    |(RD)(TC)      |     
580:  #       |                       |    |#   |    |(W )(WD)      |     
581:  000006f4|                       |    |sw  |    |(W )(W )      |     
582:  #       |sw     x18, 0x010(x02) |    |    |sw  |(I )(I )      |     
583:  #       |                       |sw  |    |    |(TC)(I )      |     
584:  #       |                       |    |#   |    |(RD)(TC)      |     
585:  #       |                       |    |#   |    |(W )(WD)      |     
586:  000006f8|                       |    |sw  |    |(W )(W )      |     
587:  #       |sw     x19, 0x00c(x02) |    |    |sw  |(I )(I )      |     
588:  #       |                       |sw  |    |    |(TC)(I )      |     
589:  #       |                       |    |#   |    |(RD)(TC)      |     
590:  #       |                       |    |#   |    |(W )(WD)      |     
591:  000006fc|                       |    |sw  |    |(W )(W )      |     
592:  #       |sw     x21, 0x004(x02) |    |    |sw  |(I )(I )      |     
593:  #       |                       |sw  |    |    |(TC)(I )      |     
594:  #       |                       |    |#   |    |(RR)(TC) rd>  |     
595:  #       |                       |    |#   |    |(RW)(WD)   >rd|     
596:  #       |                       |    |sw  |    |(RU)(W )      |     
597:  #       |                       |    |    |sw  |(RD)(I )      |     
598:  00000700|                       |    |    |    |(W )(I )      |     
599:  /       |jal    x01, 0x1ffd24   |    |    |    |(I )(I )      |     
600:  #       |                       |jal |    |    |(TC)(I )      |     
